Category,Metric,varianta_main Mean,variantb_lint_1.5g Mean,varianta_main P50,variantb_lint_1.5g P50,varianta_main P90,variantb_lint_1.5g P90,Unit
Task Path,:layer_1:module_1_160:compileDebugKotlin,3165,2500,3210,2462,4218,2940,ms
Task Path,:layer_1:module_1_161:compileDebugKotlin,2990,2601,2782,2585,4009,3148,ms
Task Path,:layer_1:module_1_162:compileDebugKotlin,2750,2444,2761,2303,3117,3198,ms
Task Path,:layer_1:module_1_165:compileDebugKotlin,2086,1771,2164,1806,2389,2127,ms
Task Path,:layer_1:module_1_164:compileDebugKotlin,2305,1983,2241,1988,2766,2426,ms
Task Path,:layer_1:module_1_163:compileDebugKotlin,2768,2461,2725,2320,3317,2778,ms
Task Path,:layer_0:module_0_12:lintAnalyzeDebug,5193,6549,4911,6255,6956,8406,ms
Task Path,:layer_1:module_1_166:compileDebugKotlin,2018,1735,1935,1689,2424,2154,ms
Task Path,:layer_1:module_1_167:compileDebugKotlin,2492,2027,2429,2007,2853,2453,ms
Task Path,:layer_1:module_1_168:compileDebugKotlin,2431,1947,2387,1982,2994,2376,ms
Task Path,:layer_1:module_1_169:compileDebugKotlin,2348,1837,2378,1839,2702,2181,ms
Task Path,:layer_1:module_1_170:compileDebugKotlin,2938,2283,2947,2295,3573,2589,ms
Task Path,:layer_1:module_1_171:compileDebugKotlin,3291,2590,3268,2647,3792,2834,ms
Task Path,:layer_1:module_1_172:compileDebugKotlin,2970,2405,3040,2477,3404,2846,ms
Task Path,:layer_1:module_1_173:compileDebugKotlin,2098,1585,2061,1607,2670,1956,ms
Task Path,:layer_0:module_0_120:lintAnalyzeDebug,5007,6094,4844,5819,5843,7613,ms
Task Path,:layer_1:module_1_174:compileDebugKotlin,3013,2325,2823,2196,3725,2809,ms
Task Path,:layer_1:module_1_175:compileDebugKotlin,2489,2026,2326,1788,3354,2391,ms
Task Path,:layer_1:module_1_176:compileDebugKotlin,2814,2560,2684,2297,3886,5655,ms
Task Path,:layer_1:module_1_177:compileDebugKotlin,2230,1719,2108,1722,3188,2211,ms
Task Path,:layer_1:module_1_178:compileDebugKotlin,2501,2029,2316,2105,3469,2387,ms
Task Path,:layer_1:module_1_179:compileDebugKotlin,2440,2024,2354,2085,3013,2568,ms
Task Path,:layer_0:module_0_121:lintAnalyzeDebug,5191,5701,4883,5370,6428,6785,ms
Task Path,:layer_1:module_1_180:compileDebugKotlin,2581,2258,2526,2311,3253,2650,ms
Task Path,:layer_1:module_1_181:compileDebugKotlin,2233,1896,2212,1922,2953,2206,ms
Task Path,:layer_1:module_1_183:compileDebugKotlin,2563,2014,2455,2018,3221,2330,ms
Task Path,:layer_1:module_1_182:compileDebugKotlin,2677,2123,2560,2182,3440,2358,ms
Task Path,:layer_1:module_1_184:compileDebugKotlin,2536,1998,2566,1960,3010,2686,ms
Task Path,:layer_0:module_0_122:lintAnalyzeDebug,5151,5786,4920,5582,6892,6949,ms
Task Path,:layer_1:module_1_185:compileDebugKotlin,2259,1874,2250,1742,2697,2734,ms
Task Path,:layer_1:module_1_186:compileDebugKotlin,2511,2125,2449,2066,2908,2729,ms
Task Path,:layer_1:module_1_187:compileDebugKotlin,2494,1980,2400,1969,3223,2218,ms
Task Path,:layer_1:module_1_188:compileDebugKotlin,2478,2176,2509,2044,2765,3180,ms
Task Path,:layer_1:module_1_189:compileDebugKotlin,2407,1995,2431,1824,2816,3005,ms
Task Path,:layer_1:module_1_190:compileDebugKotlin,2701,2234,2719,2150,3154,3037,ms
Task Path,:layer_0:module_0_123:lintAnalyzeDebug,4989,6244,4950,5719,5562,8543,ms
Task Path,:layer_1:module_1_191:compileDebugKotlin,2375,1846,2112,1773,2635,2290,ms
Task Path,:layer_1:module_1_192:compileDebugKotlin,3086,1965,2436,1890,6887,2528,ms
Task Path,:layer_1:module_1_193:compileDebugKotlin,3603,2179,2701,2170,7545,2474,ms
Task Path,:layer_1:module_1_195:compileDebugKotlin,2599,1867,2404,1861,3013,2182,ms
Task Path,:layer_1:module_1_194:compileDebugKotlin,3475,2209,2881,2244,7401,2655,ms
Task Path,:layer_0:module_0_124:lintAnalyzeDebug,4972,6628,4924,5905,6051,8869,ms
Task Path,:layer_1:module_1_196:compileDebugKotlin,2880,2113,2577,2110,3178,2463,ms
Task Path,:layer_1:module_1_197:compileDebugKotlin,2127,1726,2115,1688,2526,2053,ms
Task Path,:layer_1:module_1_198:compileDebugKotlin,2326,2073,2364,1907,2848,2850,ms
Task Path,:layer_2:module_2_199:compileDebugKotlin,1725,1652,1684,1585,2271,2159,ms
Task Path,:layer_0:module_0_125:lintAnalyzeDebug,4966,6610,4907,5895,5887,8964,ms
Task Path,:layer_2:module_2_200:compileDebugKotlin,1895,1748,1890,1692,2326,2093,ms
Task Path,:layer_2:module_2_201:compileDebugKotlin,1932,1703,1879,1665,2505,2121,ms
Task Path,:layer_2:module_2_202:compileDebugKotlin,2025,1992,1996,1859,2555,2315,ms
Task Path,:layer_2:module_2_203:compileDebugKotlin,2611,1952,2172,1865,2636,2384,ms
Task Path,:layer_2:module_2_204:compileDebugKotlin,2459,1602,2005,1540,2379,1917,ms
Task Path,:layer_0:module_0_126:lintAnalyzeDebug,5131,6560,4789,6040,6583,9754,ms
Task Path,:layer_2:module_2_205:compileDebugKotlin,2188,1915,2185,1836,2578,2290,ms
Task Path,:layer_2:module_2_206:compileDebugKotlin,1983,1718,1973,1699,2395,2069,ms
Task Path,:layer_2:module_2_207:compileDebugKotlin,1966,1657,1903,1604,2463,1979,ms
Task Path,:layer_2:module_2_208:compileDebugKotlin,1928,1586,1896,1624,2361,1972,ms
Task Path,:layer_2:module_2_209:compileDebugKotlin,1849,1551,1840,1558,2158,1779,ms
Task Path,:layer_2:module_2_210:compileDebugKotlin,1848,1556,1850,1605,2137,1759,ms
Task Path,:layer_0:module_0_127:lintAnalyzeDebug,5086,6020,4840,5639,5741,8140,ms
Task Path,:layer_2:module_2_211:compileDebugKotlin,1851,1586,1771,1575,2483,1900,ms
Task Path,:layer_2:module_2_212:compileDebugKotlin,2078,1745,2092,1659,2722,2564,ms
Task Path,:layer_2:module_2_213:compileDebugKotlin,1915,1600,1887,1532,2320,2144,ms
Task Path,:layer_2:module_2_214:compileDebugKotlin,2086,1721,2121,1707,2469,2106,ms
Task Path,:layer_0:module_0_128:lintAnalyzeDebug,4695,6223,4692,5803,5342,8900,ms
Task Path,:layer_2:module_2_215:compileDebugKotlin,2306,1824,2247,1826,2826,2208,ms
Task Path,:layer_2:module_2_216:compileDebugKotlin,2205,2043,2127,1712,2821,3422,ms
Task Path,:layer_2:module_2_217:compileDebugKotlin,2095,2040,2050,1708,2961,3860,ms
Task Path,:layer_2:module_2_218:compileDebugKotlin,1998,1923,1970,1771,2684,2221,ms
Task Path,:layer_2:module_2_219:compileDebugKotlin,2190,1801,2178,1748,2693,1997,ms
Task Path,:layer_2:module_2_220:compileDebugKotlin,1786,1547,1849,1547,2055,1876,ms
Task Path,:layer_0:module_0_129:lintAnalyzeDebug,5513,6340,4900,5769,8605,9255,ms
Task Path,:layer_2:module_2_221:compileDebugKotlin,2030,1747,1984,1779,2570,1958,ms
Task Path,:layer_2:module_2_223:compileDebugKotlin,1781,1898,1811,1690,2119,2532,ms
Task Path,:layer_2:module_2_222:compileDebugKotlin,2131,2081,2171,1908,2456,3008,ms
Task Path,:layer_2:module_2_225:compileDebugKotlin,2033,1745,2007,1590,2789,2094,ms
Task Path,:layer_2:module_2_224:compileDebugKotlin,2301,2022,2367,1848,2893,2370,ms
Task Path,:layer_2:module_2_226:compileDebugKotlin,1867,1678,1719,1599,2462,1935,ms
Task Path,:layer_0:module_0_13:lintAnalyzeDebug,4961,6276,4828,5724,7355,9335,ms
Task Path,:layer_2:module_2_227:compileDebugKotlin,1841,1615,1675,1614,2512,1852,ms
Task Path,:layer_2:module_2_228:compileDebugKotlin,2022,1745,1998,1740,2889,2092,ms
Task Path,:layer_2:module_2_229:compileDebugKotlin,1829,1677,1793,1627,2275,1987,ms
Task Path,:layer_2:module_2_230:compileDebugKotlin,1945,1887,1893,1803,2489,2546,ms
Task Path,:layer_2:module_2_231:compileDebugKotlin,2008,1969,1962,1942,2583,2572,ms
Task Path,:layer_0:module_0_130:lintAnalyzeDebug,5342,6103,4806,5402,8289,8526,ms
Task Path,:layer_2:module_2_232:compileDebugKotlin,1942,1605,1892,1593,2362,1843,ms
Task Path,:layer_2:module_2_233:compileDebugKotlin,1796,1537,1794,1454,2361,1979,ms
Task Path,:layer_2:module_2_234:compileDebugKotlin,2289,1911,2262,1850,2661,2297,ms
Task Path,:layer_2:module_2_235:compileDebugKotlin,1991,1701,1976,1684,2307,2062,ms
