Category,Metric,varianta_kotlin_2.2.0 Mean,variantb_k2_kotlin_2.2.0 Mean,varianta_kotlin_2.2.0 P50,variantb_k2_kotlin_2.2.0 P50,varianta_kotlin_2.2.0 P90,variantb_k2_kotlin_2.2.0 P90,Unit
Task Path,:layer_1:module_1_88:kspDebugKotlin,3176,3175,3156,3157,3797,3827,ms
Task Path,:layer_1:module_1_86:compileDebugKotlin,2296,2336,2184,2269,2819,2694,ms
Task Path,:layer_1:module_1_87:compileDebugKotlin,2169,2126,2169,2154,2628,2669,ms
Task Path,:layer_1:module_1_88:compileDebugKotlin,1994,2238,2000,2280,2377,2678,ms
Task Path,:layer_1:module_1_89:kspDebugKotlin,2880,3061,2871,3012,3360,3823,ms
Task Path,:layer_1:module_1_90:kspDebugKotlin,3254,3645,3195,3605,3837,4392,ms
Task Path,:layer_1:module_1_89:compileDebugKotlin,2134,2311,2114,2284,2419,2695,ms
Task Path,:layer_1:module_1_91:kspDebugKotlin,2923,3140,2845,3120,3435,3640,ms
Task Path,:layer_1:module_1_92:kspDebugKotlin,3268,3026,3159,2931,3969,3441,ms
Task Path,:layer_1:module_1_90:compileDebugKotlin,2358,2158,2092,2094,3258,2563,ms
Task Path,:layer_1:module_1_91:compileDebugKotlin,2573,2183,2494,2118,3542,2695,ms
Task Path,:layer_1:module_1_92:compileDebugKotlin,2742,2162,2687,2139,3588,2545,ms
Task Path,:layer_2:module_2_101:kspDebugKotlin,3559,3147,3636,3079,4068,3475,ms
Task Path,:layer_2:module_2_100:kspDebugKotlin,4443,3979,4468,3914,5164,4661,ms
Task Path,:layer_2:module_2_102:kspDebugKotlin,3632,3181,3575,3082,4274,3705,ms
Task Path,:layer_2:module_2_103:kspDebugKotlin,3660,3240,3626,3162,4342,3835,ms
Task Path,:layer_2:module_2_101:compileDebugKotlin,2616,2478,2514,2472,3447,2953,ms
Task Path,:layer_2:module_2_100:compileDebugKotlin,2663,2545,2504,2510,3577,3055,ms
Task Path,:layer_2:module_2_102:compileDebugKotlin,2623,2448,2465,2394,3338,2800,ms
Task Path,:layer_2:module_2_103:compileDebugKotlin,2743,2472,2656,2507,3452,2811,ms
Task Path,:layer_2:module_2_104:kspDebugKotlin,3763,3113,3833,3019,4254,3747,ms
