Category,Metric,varianta_gradle_9_1_0 Mean,variantb_jdk_25_parallel Mean,varianta_gradle_9_1_0 P50,variantb_jdk_25_parallel P50,varianta_gradle_9_1_0 P90,variantb_jdk_25_parallel P90,Unit
Task Path,:model:share-login:compileDebugKotlin,1468,1434,1420,1339,1967,1864,ms
Task Path,:entity:gallery-login:compileDebugKotlin,1402,1361,1303,1330,1911,1534,ms
Task Path,:entity:event-login:kspDebugKotlin,2822,2741,2744,2673,3478,3345,ms
Task Path,:model:login-login:kspDebugKotlin,2474,2366,2379,2343,3036,2722,ms
Task Path,:entity:file-login:kspDebugKotlin,2382,2212,2374,2183,2852,2673,ms
Task Path,:model:login-login:compileDebugKotlin,1256,1201,1205,1123,1573,1499,ms
Task Path,:entity:event-login:compileDebugKotlin,1454,1415,1389,1339,1864,1588,ms
Task Path,:model:cart-login:kspDebugKotlin,2538,2462,2475,2344,3177,2974,ms
Task Path,:entity:file-login:compileDebugKotlin,1337,1260,1249,1228,1800,1454,ms
Task Path,:model:cart-login:compileDebugKotlin,1390,1423,1325,1321,1899,1944,ms
Task Path,:entity:list-login:kspDebugKotlin,2422,2487,2307,2411,3155,3175,ms
Task Path,:entity:map-login:kspDebugKotlin,2621,2635,2462,2531,3279,3222,ms
Task Path,:entity:media-login:kspDebugKotlin,2455,2664,2348,2582,3048,3438,ms
Task Path,:entity:list-login:compileDebugKotlin,1333,1447,1271,1291,1630,1993,ms
Task Path,:entity:login-identity:kspDebugKotlin,2350,2538,2320,2408,2829,3370,ms
Task Path,:entity:map-login:compileDebugKotlin,1468,1582,1370,1374,1948,2575,ms
Task Path,:entity:media-login:compileDebugKotlin,1205,1317,1174,1177,1377,2088,ms
Task Path,:entity:login-identity:compileDebugKotlin,1327,1333,1258,1226,1800,1777,ms
Task Path,:entity:news-login:kspDebugKotlin,2272,2240,2198,2091,2743,2906,ms
Task Path,:entity:photo-login:kspDebugKotlin,2413,2332,2295,2270,3010,2900,ms
