Category,Metric,varianta_gradle_9_1_0 Mean,variantb_jdk_25 Mean,varianta_gradle_9_1_0 P50,variantb_jdk_25 P50,varianta_gradle_9_1_0 P90,variantb_jdk_25 P90,Unit
Task Path,:model:checkout-login:kspDebugKotlin,2517,2436,2498,2388,2968,2830,ms
Task Path,:model:comment-login:kspDebugKotlin,2776,2651,2705,2599,3259,2989,ms
Task Path,:model:search-login:compileDebugKotlin,1430,1425,1401,1406,1680,1685,ms
Task Path,:model:checkout-login:compileDebugKotlin,1444,1330,1394,1324,1804,1548,ms
Task Path,:model:status-login:compileDebugKotlin,1553,1542,1511,1509,1891,1779,ms
Task Path,:model:comment-login:compileDebugKotlin,1339,1275,1313,1231,1681,1465,ms
Task Path,:model:network-login:kspDebugKotlin,2604,2397,2533,2315,3111,3032,ms
Task Path,:model:network-login:compileDebugKotlin,1459,1533,1411,1414,1775,2016,ms
Task Path,:model:identity-login:kspDebugKotlin,2498,2687,2484,2687,2891,3168,ms
Task Path,:entity:article-login:kspDebugKotlin,2571,2535,2527,2414,3046,3073,ms
Task Path,:model:location-login:kspDebugKotlin,2569,2781,2507,2852,2952,3128,ms
Task Path,:entity:article-login:compileDebugKotlin,1448,1606,1361,1506,1729,2149,ms
Task Path,:model:identity-login:compileDebugKotlin,1489,1637,1414,1561,1868,2088,ms
Task Path,:model:location-login:compileDebugKotlin,1444,1564,1407,1464,1776,1994,ms
Task Path,:entity:contact-identity:kspDebugKotlin,2472,2701,2410,2626,3025,3362,ms
Task Path,:entity:contact-identity:compileDebugKotlin,1409,1323,1305,1301,1894,1656,ms
Task Path,:model:message-login:compileDebugKotlin,1459,1411,1355,1356,1903,1752,ms
Task Path,:model:log-login:kspDebugKotlin,2438,2482,2303,2497,2967,2975,ms
Task Path,:model:report-login:kspDebugKotlin,2532,2434,2608,2418,3045,2844,ms
Task Path,:model:log-login:compileDebugKotlin,1418,1344,1343,1329,1938,1566,ms
Task Path,:model:report-login:compileDebugKotlin,1374,1255,1259,1231,1997,1508,ms
Task Path,:model:session-login:kspDebugKotlin,2704,2535,2694,2464,3216,3028,ms
Task Path,:model:setting-login:kspDebugKotlin,2511,2350,2514,2303,2999,2681,ms
Task Path,:model:setting-login:compileDebugKotlin,1431,1500,1377,1449,1795,1846,ms
Task Path,:model:session-login:compileDebugKotlin,1420,1424,1352,1361,1838,1639,ms
Task Path,:model:sync-login:kspDebugKotlin,2484,2472,2414,2433,2941,2947,ms
Task Path,:model:account-login:kspDebugKotlin,2483,2641,2393,2500,2961,3490,ms
Task Path,:model:sync-login:compileDebugKotlin,1377,1463,1320,1347,1762,1851,ms
Task Path,:model:account-login:compileDebugKotlin,1351,1356,1302,1294,1741,1832,ms
Task Path,:model:post-login:kspDebugKotlin,2362,2561,2262,2430,2836,3125,ms
Task Path,:model:user-login:kspDebugKotlin,2453,2604,2410,2514,2874,3353,ms
Task Path,:model:post-login:compileDebugKotlin,1268,1438,1239,1270,1498,2096,ms
Task Path,:model:user-login:compileDebugKotlin,1290,1531,1233,1373,1546,2049,ms
Task Path,:entity:document-login:kspDebugKotlin,2607,2819,2530,2804,3105,3552,ms
Task Path,:model:share-login:kspDebugKotlin,2440,2683,2353,2694,3030,3177,ms
Task Path,:entity:document-login:compileDebugKotlin,1349,1467,1324,1337,1627,1997,ms
Task Path,:model:share-login:compileDebugKotlin,1423,1415,1305,1361,1958,1928,ms
Task Path,:entity:event-login:kspDebugKotlin,2694,2576,2585,2523,3367,3167,ms
Task Path,:entity:gallery-login:kspDebugKotlin,2572,2643,2441,2551,3036,3156,ms
Task Path,:entity:gallery-login:compileDebugKotlin,1445,1319,1322,1268,1949,1580,ms
Task Path,:entity:event-login:compileDebugKotlin,1550,1397,1495,1362,2055,1712,ms
Task Path,:entity:file-login:kspDebugKotlin,2454,2264,2420,2293,2957,2643,ms
Task Path,:model:login-login:kspDebugKotlin,2485,2296,2316,2234,3118,2656,ms
Task Path,:entity:file-login:compileDebugKotlin,1284,1299,1240,1282,1699,1557,ms
Task Path,:model:login-login:compileDebugKotlin,1261,1230,1203,1172,1547,1469,ms
Task Path,:model:cart-login:kspDebugKotlin,2490,2515,2433,2423,2902,3034,ms
Task Path,:entity:map-login:kspDebugKotlin,2548,2714,2494,2745,3004,3180,ms
Task Path,:model:cart-login:compileDebugKotlin,1366,1401,1300,1373,1768,1802,ms
Task Path,:entity:map-login:compileDebugKotlin,1360,1511,1306,1420,1614,2101,ms
Task Path,:entity:list-login:kspDebugKotlin,2391,2484,2401,2428,2943,3055,ms
Task Path,:entity:media-login:kspDebugKotlin,2355,2643,2307,2662,2784,3131,ms
Task Path,:entity:list-login:compileDebugKotlin,1295,1417,1278,1341,1614,1804,ms
Task Path,:entity:media-login:compileDebugKotlin,1256,1350,1235,1241,1444,1877,ms
Task Path,:entity:login-identity:kspDebugKotlin,2277,2665,2274,2740,2860,3248,ms
Task Path,:entity:news-login:kspDebugKotlin,2254,2453,2140,2346,2782,3155,ms
Task Path,:entity:login-identity:compileDebugKotlin,1294,1293,1231,1263,1710,1608,ms
Task Path,:entity:photo-login:kspDebugKotlin,2379,2434,2280,2362,2869,2921,ms
Task Path,:entity:news-login:compileDebugKotlin,1318,1281,1265,1210,1664,1624,ms
Task Path,:entity:podcast-login:kspDebugKotlin,2370,2313,2291,2227,2838,2780,ms
Task Path,:entity:podcast-login:compileDebugKotlin,1328,1244,1236,1205,1831,1513,ms
Task Path,:entity:photo-login:compileDebugKotlin,1374,1343,1337,1285,1719,1675,ms
Task Path,:entity:push-identity:kspDebugKotlin,2566,2335,2540,2275,3095,2753,ms
