Category,Metric,varianta_gradle_9_2_0 Mean,variantb_gradle_9_1_0 Mean,varianta_gradle_9_2_0 P50,variantb_gradle_9_1_0 P50,varianta_gradle_9_2_0 P90,variantb_gradle_9_1_0 P90,Unit
Task Path,:feature:post-contact:kspDebugKotlin,3189,3285,3268,3309,3815,3961,ms
Task Path,:feature:photo:compileDebugKotlin,2027,2021,1981,1990,2383,2547,ms
Task Path,:feature:playlist:compileDebugKotlin,1802,1820,1724,1789,2193,2196,ms
Task Path,:feature:profile-contact:kspDebugKotlin,2909,2941,2843,2883,3523,3527,ms
Task Path,:feature:post-contact:compileDebugKotlin,1897,1863,1805,1824,2297,2298,ms
Task Path,:feature:profile-contact:compileDebugKotlin,1807,1846,1741,1824,2075,2134,ms
Task Path,:feature:timer:kspDebugKotlin,3184,3185,3129,3142,3785,3775,ms
Task Path,:feature:todo:kspDebugKotlin,3227,3243,3219,3223,3652,3687,ms
Task Path,:feature:timer:compileDebugKotlin,1946,1989,1877,1966,2275,2389,ms
Task Path,:feature:todo:compileDebugKotlin,2013,2136,1920,2082,2501,2764,ms
Task Path,:feature:user-contact:kspDebugKotlin,3228,3293,3231,3203,3655,3878,ms
Task Path,:feature:video:kspDebugKotlin,3273,3350,3260,3285,3925,3872,ms
Task Path,:feature:video:compileDebugKotlin,1948,1958,1955,1959,2428,2476,ms
Task Path,:feature:user-contact:compileDebugKotlin,2372,2408,2399,2413,2849,2988,ms
Task Path,:feature:alarm:kspDebugKotlin,3361,3443,3344,3396,3871,4070,ms
Task Path,:feature:article:kspDebugKotlin,3246,3287,3254,3219,3792,3780,ms
Task Path,:feature:alarm:compileDebugKotlin,2010,2035,1976,1964,2319,2573,ms
Task Path,:feature:article:compileDebugKotlin,1939,1964,1898,1965,2421,2371,ms
