Category,Metric,varianta_gradle_9_2_0 Mean,variantb_gradle_9_1_0 Mean,varianta_gradle_9_2_0 P50,variantb_gradle_9_1_0 P50,varianta_gradle_9_2_0 P90,variantb_gradle_9_1_0 P90,Unit
Task Path,:domain:alarm-contact:compileDebugKotlin,1966,1916,1936,1827,2417,2403,ms
Task Path,:domain:calendar-contact:kspDebugKotlin,2823,2865,2820,2835,3274,3351,ms
Task Path,:domain:document-contact:kspDebugKotlin,2870,2904,2811,2877,3360,3403,ms
Task Path,:domain:analytics-contact:compileDebugKotlin,1932,1927,1869,1864,2372,2298,ms
Task Path,:domain:event-contact:compileDebugKotlin,1694,1725,1692,1690,2240,2189,ms
Task Path,:domain:calendar-contact:compileDebugKotlin,1800,1831,1749,1790,2192,2273,ms
Task Path,:domain:document-contact:compileDebugKotlin,1780,1719,1749,1714,2199,2089,ms
Task Path,:domain:file-contact:kspDebugKotlin,2691,2813,2664,2806,3198,3496,ms
Task Path,:domain:file-contact:compileDebugKotlin,1684,1727,1640,1642,2056,2125,ms
Task Path,:domain:forecast-contact:kspDebugKotlin,2619,2694,2579,2647,3266,3319,ms
Task Path,:domain:group-contact:kspDebugKotlin,2727,2805,2647,2822,3342,3492,ms
Task Path,:domain:list-contact:kspDebugKotlin,2650,2737,2572,2656,3165,3231,ms
Task Path,:domain:forecast-contact:compileDebugKotlin,1689,1664,1665,1606,2038,2003,ms
Task Path,:domain:list-contact:compileDebugKotlin,1689,1634,1602,1617,2225,1985,ms
Task Path,:domain:group-contact:compileDebugKotlin,1856,1765,1727,1676,2360,2183,ms
Task Path,:domain:location-contact:kspDebugKotlin,2786,2792,2797,2729,3519,3692,ms
Task Path,:domain:location-contact:compileDebugKotlin,1551,1536,1529,1462,1889,1926,ms
Task Path,:domain:map-contact:compileDebugKotlin,1811,1715,1755,1634,2482,2263,ms
Task Path,:domain:log-contact:kspDebugKotlin,2862,2897,2814,2862,3643,3797,ms
Task Path,:domain:message-contact:kspDebugKotlin,2860,2870,2819,2804,3475,3389,ms
Task Path,:domain:log-contact:compileDebugKotlin,1723,1751,1606,1644,2295,2172,ms
Task Path,:domain:message-contact:compileDebugKotlin,1591,1627,1544,1535,2108,1979,ms
Task Path,:domain:network-contact:kspDebugKotlin,2610,2601,2563,2556,3070,3021,ms
Task Path,:domain:metric-contact:kspDebugKotlin,2885,2928,2816,2858,3456,3380,ms
Task Path,:domain:network-contact:compileDebugKotlin,1556,1527,1503,1492,1909,1882,ms
Task Path,:domain:metric-contact:compileDebugKotlin,1529,1494,1505,1468,1901,1743,ms
Task Path,:domain:news-contact:kspDebugKotlin,2550,2532,2494,2528,3103,2897,ms
Task Path,:domain:note-contact:kspDebugKotlin,2821,2815,2788,2793,3313,3147,ms
Task Path,:domain:news-contact:compileDebugKotlin,1551,1521,1542,1474,1910,1901,ms
Task Path,:domain:note-contact:compileDebugKotlin,1650,1688,1621,1673,2009,2085,ms
Task Path,:domain:report-contact:kspDebugKotlin,2663,2630,2653,2613,3080,3020,ms
Task Path,:domain:notification-contact:kspDebugKotlin,2988,2971,3017,2922,3446,3532,ms
Task Path,:domain:report-contact:compileDebugKotlin,1608,1623,1503,1551,2005,1967,ms
Task Path,:domain:search-contact:kspDebugKotlin,2650,2663,2630,2678,3087,3244,ms
Task Path,:domain:notification-contact:compileDebugKotlin,1718,1740,1691,1675,2054,2217,ms
Task Path,:domain:session-contact:kspDebugKotlin,2798,2812,2694,2778,3587,3305,ms
Task Path,:domain:search-contact:compileDebugKotlin,1708,1730,1608,1686,2046,2194,ms
Task Path,:domain:session-contact:compileDebugKotlin,1559,1652,1503,1550,1964,2127,ms
Task Path,:domain:setting-contact:kspDebugKotlin,2761,2826,2725,2824,3366,3439,ms
Task Path,:domain:share-contact:kspDebugKotlin,2642,2746,2628,2748,3060,3246,ms
Task Path,:domain:status-contact:kspDebugKotlin,2599,2714,2597,2685,3018,3205,ms
Task Path,:domain:share-contact:compileDebugKotlin,1485,1499,1431,1456,1812,1895,ms
Task Path,:domain:setting-contact:compileDebugKotlin,1493,1495,1467,1427,1762,1827,ms
Task Path,:domain:sync-contact:kspDebugKotlin,2888,2964,2830,2911,3336,3560,ms
Task Path,:domain:status-contact:compileDebugKotlin,1452,1482,1400,1401,1766,1903,ms
Task Path,:domain:sync-contact:compileDebugKotlin,1481,1517,1454,1493,1762,1870,ms
Task Path,:domain:task-contact:kspDebugKotlin,2609,2654,2617,2564,3112,3253,ms
Task Path,:domain:timer-contact:kspDebugKotlin,2528,2561,2536,2481,2922,3072,ms
Task Path,:domain:todo-contact:kspDebugKotlin,2543,2602,2532,2588,2888,3065,ms
Task Path,:domain:task-contact:compileDebugKotlin,1483,1461,1454,1450,1841,1724,ms
Task Path,:domain:timer-contact:compileDebugKotlin,1496,1470,1453,1426,1727,1822,ms
Task Path,:domain:todo-contact:compileDebugKotlin,1561,1590,1505,1520,1992,1919,ms
Task Path,:domain:weather-contact:kspDebugKotlin,2893,2871,2857,2868,3285,3202,ms
Task Path,:domain:weather-contact:compileDebugKotlin,1540,1564,1513,1538,1847,1879,ms
Task Path,:repository:account-login:kspDebugKotlin,2436,2519,2334,2447,3055,3089,ms
Task Path,:repository:comment-login:kspDebugKotlin,2683,2653,2751,2661,3180,3187,ms
Task Path,:repository:feed-login:kspDebugKotlin,2387,2486,2309,2375,2945,2947,ms
Task Path,:repository:account-login:compileDebugKotlin,1416,1456,1369,1380,1772,1910,ms
Task Path,:repository:article-contact:kspDebugKotlin,2634,2684,2505,2667,3251,3238,ms
Task Path,:repository:comment-login:compileDebugKotlin,1461,1480,1438,1409,1797,1821,ms
Task Path,:repository:audio-contact:kspDebugKotlin,2615,2645,2555,2561,3154,3082,ms
Task Path,:repository:cart-login:kspDebugKotlin,2913,2928,2829,2879,3444,3375,ms
Task Path,:repository:article-contact:compileDebugKotlin,1580,1575,1543,1483,1935,2042,ms
Task Path,:repository:feed-login:compileDebugKotlin,1367,1346,1282,1309,1727,1592,ms
Task Path,:repository:audio-contact:compileDebugKotlin,1540,1629,1462,1518,1987,2114,ms
Task Path,:repository:cart-login:compileDebugKotlin,1572,1595,1502,1496,2125,2131,ms
Task Path,:repository:group-login:kspDebugKotlin,2314,2209,2241,2157,2865,2697,ms
Task Path,:repository:group-login:compileDebugKotlin,1334,1298,1250,1239,1660,1630,ms
Task Path,:repository:identity-login:kspDebugKotlin,2439,2331,2407,2285,3018,2850,ms
Task Path,:repository:location-login:kspDebugKotlin,2517,2472,2437,2384,2940,2885,ms
Task Path,:repository:login-login:kspDebugKotlin,2523,2389,2442,2296,2974,2943,ms
Task Path,:repository:identity-login:compileDebugKotlin,1424,1357,1385,1335,1832,1643,ms
Task Path,:repository:location-login:compileDebugKotlin,1410,1341,1380,1306,1648,1585,ms
Task Path,:repository:login-login:compileDebugKotlin,1462,1387,1393,1385,1868,1635,ms
Task Path,:repository:media-contact:kspDebugKotlin,2635,2486,2629,2468,3063,2945,ms
Task Path,:repository:media-contact:compileDebugKotlin,1510,1537,1499,1490,1874,1962,ms
Task Path,:repository:network-login:kspDebugKotlin,2694,2647,2618,2583,3226,3200,ms
Task Path,:repository:photo-contact:kspDebugKotlin,2577,2576,2516,2534,3110,3107,ms
Task Path,:repository:playlist-contact:kspDebugKotlin,2570,2629,2509,2603,3161,3246,ms
Task Path,:repository:photo-contact:compileDebugKotlin,1465,1545,1401,1489,1827,1967,ms
Task Path,:repository:network-login:compileDebugKotlin,1591,1630,1514,1582,2026,2057,ms
Task Path,:repository:playlist-contact:compileDebugKotlin,1419,1409,1376,1381,1862,1800,ms
Task Path,:repository:podcast-contact:kspDebugKotlin,2575,2603,2590,2534,3023,3108,ms
Task Path,:repository:podcast-contact:compileDebugKotlin,1327,1373,1336,1321,1662,1747,ms
Task Path,:repository:profile-login:kspDebugKotlin,2387,2436,2326,2393,2868,2886,ms
Task Path,:repository:push-login:kspDebugKotlin,2439,2413,2339,2428,3021,2786,ms
Task Path,:repository:session-login:kspDebugKotlin,2681,2778,2630,2663,3259,3566,ms
