Category,Metric,varianta_main Mean,variantb_UseCompactObjectHeaders Mean,varianta_main P50,variantb_UseCompactObjectHeaders P50,varianta_main P90,variantb_UseCompactObjectHeaders P90,Unit
Task Path,:feature:feed-login:kspDebugKotlin,1579,1493,1555,1468,1916,1816,ms
Task Path,:domain:alarm-login:kspDebugKotlin,1462,1359,1416,1396,1941,1706,ms
Task Path,:domain:alarm-identity:compileDebugKotlin,2579,2423,2584,2390,3267,2894,ms
Task Path,:feature:log-contact:kspDebugKotlin,1394,1387,1349,1431,1767,1699,ms
Task Path,:feature:account-login:compileDebugKotlin,2601,2538,2658,2468,3105,3027,ms
Task Path,:feature:feed-login:compileDebugKotlin,2664,2611,2659,2561,3208,3065,ms
Task Path,:domain:alarm-login:compileDebugKotlin,2673,2570,2618,2633,3367,2898,ms
Task Path,:feature:photo-contact:kspDebugKotlin,1369,1449,1396,1439,1672,1792,ms
Task Path,:feature:log-contact:compileDebugKotlin,2599,2525,2564,2409,3242,3148,ms
Task Path,:feature:search-login:kspDebugKotlin,1836,1905,1760,1887,2446,2366,ms
Task Path,:feature:forecast-contact:kspDebugKotlin,1479,1529,1449,1563,1939,1889,ms
Task Path,:domain:comment-identity:kspDebugKotlin,1521,1582,1502,1564,1894,1981,ms
Task Path,:feature:photo-contact:compileDebugKotlin,2684,2730,2589,2729,3320,3364,ms
Task Path,:feature:search-login:compileDebugKotlin,2657,2751,2533,2622,3299,3384,ms
Task Path,:feature:forecast-contact:compileDebugKotlin,2855,2847,2791,2891,3631,3415,ms
Task Path,:domain:comment-identity:compileDebugKotlin,2720,2594,2667,2578,3370,3180,ms
Task Path,:domain:analytics-login:kspDebugKotlin,1541,1677,1511,1754,1914,2183,ms
Task Path,:domain:analytics-identity:kspDebugKotlin,1985,2114,1913,2102,2633,2723,ms
Task Path,:domain:article-login:kspDebugKotlin,2096,2202,2106,2230,2607,2776,ms
Task Path,:domain:audio-login:kspDebugKotlin,1651,1673,1670,1644,2197,2161,ms
Task Path,:domain:analytics-login:compileDebugKotlin,3070,2844,3075,2908,3585,3446,ms
Task Path,:domain:analytics-identity:compileDebugKotlin,2996,2891,3092,2865,3628,3642,ms
Task Path,:domain:article-login:compileDebugKotlin,2985,2828,3016,2631,3618,3599,ms
Task Path,:domain:audio-login:compileDebugKotlin,2809,2643,2783,2627,3517,3305,ms
Task Path,:domain:calendar-identity:kspDebugKotlin,1389,1419,1262,1353,2131,1990,ms
Task Path,:domain:calendar-login:kspDebugKotlin,1444,1418,1422,1280,1946,1943,ms
Task Path,:domain:cart-identity:kspDebugKotlin,1536,1516,1507,1444,2004,1980,ms
Task Path,:domain:checkout-identity:kspDebugKotlin,1598,1566,1667,1478,1933,2073,ms
Task Path,:domain:calendar-identity:compileDebugKotlin,2760,2698,2650,2619,3420,3579,ms
Task Path,:domain:cart-identity:compileDebugKotlin,2773,2708,2697,2578,3448,3377,ms
Task Path,:domain:calendar-login:compileDebugKotlin,2721,2770,2601,2764,3383,3390,ms
Task Path,:domain:checkout-identity:compileDebugKotlin,2624,2503,2536,2421,3248,3203,ms
Task Path,:domain:contact-identity:kspDebugKotlin,1333,1274,1261,1275,1822,1696,ms
Task Path,:domain:document-login:kspDebugKotlin,1526,1606,1499,1604,1927,1975,ms
Task Path,:domain:event-identity:kspDebugKotlin,1493,1445,1455,1413,1903,1739,ms
Task Path,:domain:event-login:kspDebugKotlin,1466,1521,1474,1457,1831,1948,ms
Task Path,:domain:contact-identity:compileDebugKotlin,2585,2518,2510,2475,3076,3067,ms
Task Path,:domain:document-login:compileDebugKotlin,2516,2442,2470,2410,2900,2853,ms
Task Path,:domain:event-identity:compileDebugKotlin,2529,2492,2460,2360,2952,3032,ms
Task Path,:domain:event-login:compileDebugKotlin,2521,2441,2495,2421,2954,3066,ms
Task Path,:domain:feed-identity:kspDebugKotlin,1401,1432,1422,1445,1765,1759,ms
Task Path,:domain:file-login:kspDebugKotlin,1418,1411,1401,1401,1804,1753,ms
Task Path,:domain:forecast-login:kspDebugKotlin,1334,1426,1321,1401,1700,1831,ms
Task Path,:domain:file-identity:kspDebugKotlin,1759,1777,1738,1776,2169,2192,ms
Task Path,:domain:feed-identity:compileDebugKotlin,2577,2421,2533,2425,3348,2894,ms
Task Path,:domain:file-login:compileDebugKotlin,2516,2430,2420,2365,3124,2875,ms
