Category,Metric,varianta_9.3.1 Mean,variantb_9.4.0-rc-1 Mean,varianta_9.3.1 P50,variantb_9.4.0-rc-1 P50,varianta_9.3.1 P90,variantb_9.4.0-rc-1 P90,Unit
Task Path,:entity:cart-login:kspDebugKotlin,3071,3039,2981,2936,3601,3709,ms
Task Path,:entity:user-login:kspDebugKotlin,3405,3370,3278,3331,4054,3940,ms
Task Path,:entity:identity-login:compileDebugKotlin,2115,2118,1972,2001,2652,2655,ms
Task Path,:entity:checkout-login:compileDebugKotlin,2137,2167,2118,2124,2636,2713,ms
Task Path,:entity:cart-login:compileDebugKotlin,1958,1981,1810,1891,2561,2392,ms
Task Path,:entity:user-login:compileDebugKotlin,1899,1871,1864,1746,2333,2405,ms
Task Path,:data:network-login:kspDebugKotlin,2827,2916,2706,2845,3485,3405,ms
Task Path,:entity:comment-login:kspDebugKotlin,2841,2901,2769,2887,3408,3439,ms
Task Path,:entity:profile-login:kspDebugKotlin,2852,2942,2698,2898,3484,3443,ms
Task Path,:entity:feed-login:kspDebugKotlin,2815,2916,2725,2857,3419,3406,ms
Task Path,:data:network-login:compileDebugKotlin,1857,1903,1829,1843,2338,2358,ms
Task Path,:entity:comment-login:compileDebugKotlin,1949,1969,1899,1897,2420,2521,ms
Task Path,:entity:feed-login:compileDebugKotlin,2086,2082,2062,2051,2499,2546,ms
Task Path,:entity:profile-login:compileDebugKotlin,2053,2067,1996,2068,2516,2529,ms
Task Path,:data:message-login:kspDebugKotlin,2989,2944,2948,2875,3459,3357,ms
Task Path,:data:post-login:kspDebugKotlin,2720,2844,2749,2837,3228,3335,ms
Task Path,:data:setting-login:kspDebugKotlin,2935,2936,2903,2891,3306,3384,ms
Task Path,:data:notification-login:kspDebugKotlin,2986,2931,2932,2948,3353,3237,ms
Task Path,:data:post-login:compileDebugKotlin,2035,1985,1974,2013,2654,2323,ms
Task Path,:data:message-login:compileDebugKotlin,1957,1992,1875,2002,2460,2351,ms
Task Path,:data:setting-login:compileDebugKotlin,2180,2153,2126,2166,2744,2570,ms
Task Path,:data:notification-login:compileDebugKotlin,2131,2126,2100,2130,2576,2458,ms
Task Path,:api:account-login:kspDebugKotlin,2599,2479,2573,2357,3083,3070,ms
Task Path,:api:analytics-login:kspDebugKotlin,2940,2989,2904,2877,3553,3474,ms
Task Path,:entity:login-login:kspDebugKotlin,2918,2942,2887,2896,3360,3379,ms
Task Path,:data:search-login:kspDebugKotlin,3192,3325,3195,3322,3621,3841,ms
Task Path,:api:account-login:compileDebugKotlin,2089,2036,2014,2047,2446,2407,ms
Task Path,:entity:login-login:compileDebugKotlin,2117,2231,2081,2208,2457,2708,ms
Task Path,:api:analytics-login:compileDebugKotlin,2031,2098,1965,2082,2471,2456,ms
Task Path,:data:search-login:compileDebugKotlin,1927,2114,1927,2042,2340,2786,ms
Task Path,:data:share-login:kspDebugKotlin,2816,2969,2744,2961,3271,3634,ms
Task Path,:data:location-login:kspDebugKotlin,2959,3088,2914,3081,3540,3733,ms
Task Path,:data:group-login:kspDebugKotlin,3136,3155,3078,3092,3660,3986,ms
Task Path,:data:sync-login:kspDebugKotlin,2964,3081,2909,2980,3535,3738,ms
Task Path,:data:share-login:compileDebugKotlin,2016,2040,1968,2033,2443,2565,ms
Task Path,:data:location-login:compileDebugKotlin,2051,2109,2008,2068,2499,2487,ms
Task Path,:data:group-login:compileDebugKotlin,1860,1911,1806,1852,2300,2275,ms
Task Path,:data:sync-login:compileDebugKotlin,2012,2075,1945,2012,2398,2377,ms
Task Path,:api:alarm-login:kspDebugKotlin,2591,2784,2516,2794,3350,3285,ms
Task Path,:api:event-login:kspDebugKotlin,3081,3106,3042,3134,3680,3594,ms
Task Path,:api:calendar-login:kspDebugKotlin,3033,3098,3000,3000,3440,3564,ms
Task Path,:api:document-login:kspDebugKotlin,3161,3228,3123,3175,3516,3742,ms
Task Path,:api:alarm-login:compileDebugKotlin,1873,1981,1837,1912,2202,2418,ms
Task Path,:api:event-login:compileDebugKotlin,1874,1877,1822,1771,2316,2371,ms
Task Path,:api:document-login:compileDebugKotlin,1950,2010,1903,1997,2234,2415,ms
Task Path,:api:calendar-login:compileDebugKotlin,2071,2105,1994,2093,2459,2578,ms
Task Path,:api:file-login:kspDebugKotlin,2781,2846,2767,2902,3314,3200,ms
Task Path,:api:file-login:compileDebugKotlin,1730,1783,1675,1767,2183,2095,ms
Task Path,:api:log-login:kspDebugKotlin,2858,2900,2820,2891,3396,3333,ms
Task Path,:api:note-login:kspDebugKotlin,2995,2930,2903,2932,3552,3397,ms
Task Path,:api:metric-login:kspDebugKotlin,3432,3364,3443,3301,3932,3805,ms
Task Path,:api:log-login:compileDebugKotlin,1895,2011,1855,2027,2259,2372,ms
Task Path,:api:note-login:compileDebugKotlin,2064,2080,2057,2066,2355,2388,ms
Task Path,:api:metric-login:compileDebugKotlin,2052,2013,1978,2008,2376,2406,ms
Task Path,:api:report-login:kspDebugKotlin,2917,2969,2935,2888,3274,3594,ms
Task Path,:api:report-login:compileDebugKotlin,1836,1904,1738,1895,2335,2224,ms
Task Path,:api:task-login:kspDebugKotlin,2859,2960,2896,2910,3268,3417,ms
Task Path,:api:status-login:kspDebugKotlin,2905,3054,2973,2985,3308,3710,ms
Task Path,:api:session-login:kspDebugKotlin,3329,3369,3257,3320,3866,4106,ms
Task Path,:api:task-login:compileDebugKotlin,1983,2023,1928,2008,2391,2475,ms
Task Path,:api:status-login:compileDebugKotlin,2012,2073,1978,2038,2529,2473,ms
Task Path,:api:session-login:compileDebugKotlin,1745,1956,1738,1892,2079,2480,ms
Task Path,:api:timer-login:kspDebugKotlin,3286,3439,3235,3368,3894,4109,ms
Task Path,:api:timer-login:compileDebugKotlin,1814,1783,1729,1766,2321,2138,ms
Task Path,:presentation:playlist-login:kspDebugKotlin,2947,2981,2924,2912,3386,3522,ms
Task Path,:presentation:video-login:kspDebugKotlin,2828,2898,2740,2870,3243,3309,ms
Task Path,:presentation:audio-login:kspDebugKotlin,2882,2961,2861,2892,3319,3378,ms
Task Path,:presentation:playlist-login:compileDebugKotlin,1944,1968,1871,1922,2419,2445,ms
Task Path,:presentation:cart-identity:kspDebugKotlin,2942,2958,2785,2889,3558,3599,ms
Task Path,:presentation:gallery-login:kspDebugKotlin,3224,3187,3122,3073,3766,3837,ms
Task Path,:presentation:media-login:kspDebugKotlin,3530,3468,3488,3427,4185,4095,ms
Task Path,:presentation:cart-identity:compileDebugKotlin,2073,2006,1986,1983,2471,2340,ms
Task Path,:presentation:gallery-login:compileDebugKotlin,2042,2057,1981,2055,2538,2339,ms
Task Path,:presentation:media-login:compileDebugKotlin,1888,1975,1838,1887,2362,2476,ms
Task Path,:presentation:user-identity:kspDebugKotlin,2769,2779,2743,2769,3421,3389,ms
Task Path,:presentation:user-identity:compileDebugKotlin,1946,1877,1943,1836,2306,2203,ms
Task Path,:presentation:video-login:compileDebugKotlin,1910,1959,1909,1916,2277,2365,ms
Task Path,:presentation:audio-login:compileDebugKotlin,1900,1919,1864,1909,2189,2243,ms
Task Path,:presentation:article-login:kspDebugKotlin,3403,3492,3424,3409,3738,4034,ms
Task Path,:presentation:article-login:compileDebugKotlin,1876,1939,1850,1910,2111,2353,ms
Task Path,:presentation:identity-identity:kspDebugKotlin,2842,2859,2772,2857,3315,3214,ms
Task Path,:ui:account-identity:kspDebugKotlin,2913,3055,2905,3022,3339,3784,ms
Task Path,:presentation:list-login:kspDebugKotlin,3384,3572,3342,3519,3910,4161,ms
Task Path,:presentation:login-identity:kspDebugKotlin,3396,3547,3377,3524,3910,4367,ms
Task Path,:presentation:identity-identity:compileDebugKotlin,1862,1915,1812,1895,2317,2213,ms
Task Path,:ui:account-identity:compileDebugKotlin,1941,1918,1854,1860,2407,2306,ms
Task Path,:presentation:list-login:compileDebugKotlin,1987,1960,1918,1895,2725,2363,ms
Task Path,:presentation:login-identity:compileDebugKotlin,1954,1890,1937,1827,2403,2243,ms
Task Path,:presentation:map-login:kspDebugKotlin,3075,3161,2995,3109,3637,3868,ms
Task Path,:presentation:news-login:kspDebugKotlin,2896,2935,2811,2805,3483,3530,ms
Task Path,:presentation:photo-login:kspDebugKotlin,2967,2976,2961,2873,3424,3614,ms
Task Path,:presentation:profile-identity:kspDebugKotlin,3393,3322,3355,3348,3950,3829,ms
Task Path,:presentation:map-login:compileDebugKotlin,1839,1876,1811,1864,2179,2284,ms
Task Path,:presentation:news-login:compileDebugKotlin,1957,1955,1898,1852,2347,2415,ms
