Category,Metric,varianta_2.2.20 Mean,variantb_2.3.0-beta2 Mean,varianta_2.2.20 P50,variantb_2.3.0-beta2 P50,varianta_2.2.20 P90,variantb_2.3.0-beta2 P90,Unit
Task Path,:repository:calendar-contact:kspDebugKotlin,2982,2936,2986,2899,3522,3474,ms
Task Path,:model:identity-login:kspDebugKotlin,2894,2949,2886,2857,3300,3424,ms
Task Path,:model:feed-login:compileDebugKotlin,1711,1726,1773,1723,2004,2015,ms
Task Path,:model:comment-login:compileDebugKotlin,1807,1918,1772,1876,2213,2353,ms
Task Path,:repository:calendar-contact:compileDebugKotlin,1696,1751,1674,1709,1972,2300,ms
Task Path,:model:identity-login:compileDebugKotlin,1678,1755,1640,1761,2024,2067,ms
Task Path,:model:location-login:kspDebugKotlin,2868,2745,2874,2704,3445,3203,ms
Task Path,:model:log-login:kspDebugKotlin,2741,2676,2669,2606,3344,3208,ms
Task Path,:model:group-login:kspDebugKotlin,3157,3206,3059,3191,3586,3746,ms
Task Path,:model:login-login:kspDebugKotlin,2628,2613,2569,2618,3215,2932,ms
Task Path,:model:location-login:compileDebugKotlin,1606,1599,1605,1559,1940,2011,ms
Task Path,:model:log-login:compileDebugKotlin,1561,1629,1535,1622,1938,1922,ms
Task Path,:model:login-login:compileDebugKotlin,1701,1637,1649,1636,1991,2069,ms
Task Path,:model:group-login:compileDebugKotlin,1783,1665,1707,1661,2268,1985,ms
Task Path,:model:notification-login:kspDebugKotlin,2951,2839,2923,2825,3567,3285,ms
Task Path,:model:metric-login:kspDebugKotlin,3296,3246,3246,3281,3862,3855,ms
Task Path,:model:post-login:kspDebugKotlin,2976,2891,2998,2882,3546,3518,ms
Task Path,:model:session-login:kspDebugKotlin,3585,3554,3567,3488,4413,4402,ms
Task Path,:model:notification-login:compileDebugKotlin,1768,1779,1760,1809,2163,2067,ms
Task Path,:model:metric-login:compileDebugKotlin,1835,1797,1842,1755,2281,2109,ms
Task Path,:model:post-login:compileDebugKotlin,1939,1888,1881,1881,2413,2196,ms
Task Path,:model:session-login:compileDebugKotlin,1724,1670,1753,1695,2281,2063,ms
Task Path,:model:setting-login:kspDebugKotlin,2946,2889,2934,2874,3769,3489,ms
Task Path,:model:sync-login:kspDebugKotlin,3022,2937,2886,2883,3716,3324,ms
Task Path,:model:user-login:kspDebugKotlin,3534,3455,3464,3471,3945,3939,ms
Task Path,:model:search-login:kspDebugKotlin,3468,3513,3451,3444,4012,4111,ms
Task Path,:model:setting-login:compileDebugKotlin,1921,1811,1840,1678,2645,2515,ms
Task Path,:model:sync-login:compileDebugKotlin,2000,2030,1957,1927,2503,2618,ms
Task Path,:model:user-login:compileDebugKotlin,1796,1901,1754,1764,2246,2452,ms
Task Path,:model:search-login:compileDebugKotlin,1819,1963,1792,1925,2292,2594,ms
Task Path,:model:cart-login:kspDebugKotlin,3068,3134,3047,3126,3620,3499,ms
Task Path,:model:message-login:kspDebugKotlin,3134,3105,3088,3112,3538,3622,ms
Task Path,:entity:alarm-login:kspDebugKotlin,2746,2881,2649,2890,3330,3322,ms
