Category,Metric,varianta_2.2.21 Mean,variantb_2.3.0 Mean,varianta_2.2.21 P50,variantb_2.3.0 P50,varianta_2.2.21 P90,variantb_2.3.0 P90,Unit
Task Path,:repository:map-login:compileDebugKotlin,2000,2062,1948,2058,2376,2532,ms
Task Path,:repository:location-login:compileDebugKotlin,2787,2754,2695,2765,3353,3073,ms
Task Path,:repository:metric-login:kspDebugKotlin,4429,4391,4400,4299,5107,5079,ms
Task Path,:repository:log-login:compileDebugKotlin,3958,3877,3899,3835,4646,4673,ms
Task Path,:repository:metric-login:compileDebugKotlin,3245,3231,3240,3215,3649,3704,ms
Task Path,:repository:network-login:kspDebugKotlin,3657,3606,3646,3601,4229,4278,ms
Task Path,:repository:post-login:kspDebugKotlin,3952,3832,3942,3842,4403,4370,ms
Task Path,:repository:network-login:compileDebugKotlin,2196,2222,2146,2180,2625,2622,ms
Task Path,:repository:profile-login:kspDebugKotlin,3130,3125,3026,3083,3641,3721,ms
Task Path,:repository:report-login:kspDebugKotlin,3264,3234,3217,3156,3807,3782,ms
Task Path,:repository:profile-login:compileDebugKotlin,1722,1718,1694,1690,2041,2033,ms
Task Path,:repository:post-login:compileDebugKotlin,3445,3399,3347,3405,4072,3828,ms
Task Path,:repository:report-login:compileDebugKotlin,1836,1824,1829,1817,2243,2234,ms
Task Path,:repository:session-login:kspDebugKotlin,3742,3752,3710,3709,4432,4408,ms
Task Path,:repository:session-login:compileDebugKotlin,1727,1859,1700,1799,2062,2211,ms
Task Path,:repository:share-login:kspDebugKotlin,3394,3463,3320,3424,3848,3994,ms
Task Path,:repository:setting-login:kspDebugKotlin,3618,3748,3543,3681,4246,4451,ms
Task Path,:repository:status-login:kspDebugKotlin,3938,4125,3892,4016,4458,4935,ms
Task Path,:repository:share-login:compileDebugKotlin,2218,2347,2192,2271,2549,2817,ms
Task Path,:repository:setting-login:compileDebugKotlin,3071,3138,3049,3089,3617,3565,ms
Task Path,:repository:sync-login:kspDebugKotlin,3963,3970,3895,3871,4524,4818,ms
Task Path,:repository:status-login:compileDebugKotlin,3272,3356,3088,3327,4011,3864,ms
Task Path,:repository:task-login:kspDebugKotlin,3363,3311,3399,3218,3753,4015,ms
Task Path,:repository:task-login:compileDebugKotlin,2094,2127,2018,2019,2582,2711,ms
Task Path,:repository:sync-login:compileDebugKotlin,3848,3827,3800,3842,4616,4468,ms
Task Path,:repository:todo-login:kspDebugKotlin,3438,3282,3410,3267,4024,3903,ms
Task Path,:repository:timer-login:kspDebugKotlin,3826,3887,3772,3868,4419,4482,ms
Task Path,:repository:timer-login:compileDebugKotlin,2294,2242,2258,2226,2717,2679,ms
Task Path,:repository:todo-login:compileDebugKotlin,2412,2333,2315,2242,2922,2793,ms
Task Path,:repository:user-login:kspDebugKotlin,3616,3601,3595,3549,4248,4262,ms
Task Path,:model:analytics-identity:kspDebugKotlin,3678,3742,3603,3624,4391,4356,ms
Task Path,:repository:user-login:compileDebugKotlin,1992,1941,1979,1883,2550,2331,ms
Task Path,:model:analytics-identity:compileDebugKotlin,1911,1979,1885,1924,2327,2389,ms
Task Path,:repository:account-login:kspDebugKotlin,3691,3732,3560,3607,4572,4481,ms
Task Path,:repository:message-login:kspDebugKotlin,4218,4200,4168,4093,4869,4879,ms
Task Path,:model:account-identity:kspDebugKotlin,3895,3981,3872,3967,4491,4688,ms
Task Path,:repository:account-login:compileDebugKotlin,3020,2976,2962,2915,3425,3403,ms
Task Path,:repository:message-login:compileDebugKotlin,3678,3664,3635,3658,4221,4131,ms
Task Path,:repository:note-login:kspDebugKotlin,3505,3495,3435,3408,4095,3984,ms
Task Path,:model:account-identity:compileDebugKotlin,2735,2740,2705,2715,3184,3237,ms
Task Path,:repository:note-login:compileDebugKotlin,2106,2114,2072,2054,2491,2601,ms
Task Path,:repository:search-login:kspDebugKotlin,3577,3594,3484,3558,4216,4179,ms
Task Path,:repository:notification-login:kspDebugKotlin,3605,3598,3588,3527,4098,4199,ms
Task Path,:repository:checkout-login:kspDebugKotlin,3501,3522,3442,3504,3989,3978,ms
Task Path,:repository:search-login:compileDebugKotlin,1597,1673,1552,1659,1882,2072,ms
Task Path,:repository:calendar-login:kspDebugKotlin,3610,3566,3606,3498,4054,3959,ms
Task Path,:repository:notification-login:compileDebugKotlin,3487,3463,3415,3348,3924,4139,ms
Task Path,:repository:checkout-login:compileDebugKotlin,3272,3259,3237,3181,3844,3744,ms
Task Path,:repository:calendar-login:compileDebugKotlin,3069,3009,3020,2974,3561,3396,ms
Task Path,:model:article-login:kspDebugKotlin,4243,4237,4202,4132,4929,4868,ms
Task Path,:model:audio-login:kspDebugKotlin,3323,3232,3331,3211,4012,3854,ms
Task Path,:model:cart-identity:kspDebugKotlin,2964,2912,2881,2870,3616,3393,ms
Task Path,:model:article-login:compileDebugKotlin,2864,2878,2800,2871,3415,3264,ms
Task Path,:model:cart-identity:compileDebugKotlin,1691,1695,1653,1657,2027,2016,ms
Task Path,:model:checkout-identity:kspDebugKotlin,3555,3585,3486,3480,4038,4263,ms
Task Path,:model:audio-login:compileDebugKotlin,2960,2919,2862,2908,3601,3428,ms
Task Path,:model:checkout-identity:compileDebugKotlin,2499,2506,2510,2485,2921,2874,ms
Task Path,:model:comment-identity:kspDebugKotlin,3825,3904,3703,3952,4611,4426,ms
Task Path,:model:contact-identity:kspDebugKotlin,3558,3626,3498,3615,4167,4122,ms
Task Path,:model:feed-identity:kspDebugKotlin,3392,3514,3411,3484,3893,4085,ms
Task Path,:model:forecast-login:kspDebugKotlin,3276,3261,3207,3301,3878,3974,ms
Task Path,:model:feed-identity:compileDebugKotlin,1754,1799,1710,1805,2087,2142,ms
