Category,Metric,varianta_2.2.10 Mean,variantb_2.2.20 Mean,varianta_2.2.10 P50,variantb_2.2.20 P50,varianta_2.2.10 P90,variantb_2.2.20 P90,Unit
Task Path,:repository:status-contact:kspDebugKotlin,3556,3690,3515,3736,4163,4220,ms
Task Path,:repository:metric-contact:compileDebugKotlin,2354,2390,2328,2283,2740,2864,ms
Task Path,:repository:report-contact:compileDebugKotlin,3063,3009,2976,2908,3523,3428,ms
Task Path,:repository:status-contact:compileDebugKotlin,2708,2585,2612,2516,3160,3084,ms
Task Path,:repository:article-contact:kspDebugKotlin,3105,3101,3108,3011,3617,3641,ms
Task Path,:repository:forecast-contact:kspDebugKotlin,3195,3155,3207,3155,3774,3693,ms
Task Path,:repository:photo-contact:kspDebugKotlin,3234,3338,3110,3304,3965,3869,ms
Task Path,:repository:article-contact:compileDebugKotlin,2101,2107,2050,2072,2608,2548,ms
Task Path,:model:cart-login:kspDebugKotlin,3504,3583,3477,3552,4093,3998,ms
Task Path,:repository:forecast-contact:compileDebugKotlin,2675,2714,2594,2623,3220,3242,ms
Task Path,:repository:photo-contact:compileDebugKotlin,2989,2978,2929,2893,3352,3433,ms
Task Path,:model:cart-login:compileDebugKotlin,2990,3014,2951,2907,3429,3699,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,3500,3633,3457,3633,4070,4177,ms
Task Path,:model:checkout-login:kspDebugKotlin,3052,3126,3037,3069,3537,3747,ms
Task Path,:model:comment-login:kspDebugKotlin,2831,2888,2808,2862,3285,3311,ms
Task Path,:model:comment-login:compileDebugKotlin,1552,1523,1485,1454,1918,1823,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,1911,1957,1924,1895,2193,2443,ms
Task Path,:model:checkout-login:compileDebugKotlin,2319,2375,2311,2338,2816,2971,ms
Task Path,:model:contact-login:kspDebugKotlin,3521,3643,3477,3664,4204,4141,ms
Task Path,:model:group-login:kspDebugKotlin,3349,3262,3282,3216,3908,3672,ms
Task Path,:model:contact-login:compileDebugKotlin,2492,2491,2443,2406,2918,2917,ms
Task Path,:model:feed-login:kspDebugKotlin,2840,2879,2857,2847,3300,3460,ms
Task Path,:repository:todo-contact:kspDebugKotlin,3291,3283,3282,3233,3763,3807,ms
Task Path,:model:group-login:compileDebugKotlin,1742,1657,1673,1576,2138,2060,ms
Task Path,:model:feed-login:compileDebugKotlin,1645,1608,1518,1536,2184,1943,ms
Task Path,:repository:todo-contact:compileDebugKotlin,1863,1846,1820,1741,2186,2372,ms
Task Path,:model:message-login:kspDebugKotlin,2887,2920,2862,2887,3261,3451,ms
Task Path,:model:network-login:kspDebugKotlin,3188,3214,3165,3171,3653,3630,ms
Task Path,:model:message-login:compileDebugKotlin,1427,1448,1370,1392,1772,1810,ms
Task Path,:model:playlist-contact:kspDebugKotlin,2719,2853,2705,2827,3217,3475,ms
Task Path,:model:identity-login:kspDebugKotlin,2639,2876,2584,2850,3055,3338,ms
Task Path,:model:location-login:kspDebugKotlin,2526,2769,2493,2739,2854,3191,ms
Task Path,:model:login-login:kspDebugKotlin,2785,2941,2731,2917,3208,3350,ms
Task Path,:model:identity-login:compileDebugKotlin,2167,2204,2143,2161,2403,2664,ms
Task Path,:model:network-login:compileDebugKotlin,2506,2530,2447,2471,2978,3023,ms
Task Path,:model:location-login:compileDebugKotlin,1930,1967,1909,1904,2250,2381,ms
Task Path,:model:login-login:compileDebugKotlin,2317,2384,2272,2327,2692,2818,ms
Task Path,:model:playlist-contact:compileDebugKotlin,2478,2476,2419,2452,2915,2862,ms
Task Path,:model:notification-login:kspDebugKotlin,2700,2792,2715,2808,3255,3399,ms
Task Path,:model:post-login:kspDebugKotlin,2807,2754,2720,2784,3349,3136,ms
