Category,Metric,varianta_parallel Mean,variantb_g1 Mean,varianta_parallel P50,variantb_g1 P50,varianta_parallel P90,variantb_g1 P90,Unit
Task Path,:layer_1:module_1_136:kspDebugKotlin,2935,2862,2817,2803,3396,3253,ms
Task Path,:layer_1:module_1_136:compileDebugKotlin,1530,1546,1477,1484,1865,1860,ms
Task Path,:layer_1:module_1_134:compileDebugKotlin,2507,2467,2412,2379,2938,2958,ms
Task Path,:layer_1:module_1_137:kspDebugKotlin,2351,2387,2349,2421,3011,2962,ms
Task Path,:layer_1:module_1_135:compileDebugKotlin,2360,2364,2295,2280,2780,2808,ms
Task Path,:layer_1:module_1_137:compileDebugKotlin,1458,1510,1469,1467,1795,1911,ms
Task Path,:layer_1:module_1_138:kspDebugKotlin,2725,2854,2693,2787,3045,3453,ms
Task Path,:layer_1:module_1_139:kspDebugKotlin,2772,2853,2736,2778,3106,3321,ms
Task Path,:layer_1:module_1_140:kspDebugKotlin,3269,3402,3220,3347,3706,4010,ms
Task Path,:layer_1:module_1_141:kspDebugKotlin,2635,2726,2602,2650,2906,3263,ms
Task Path,:layer_1:module_1_138:compileDebugKotlin,2742,2858,2707,2812,3140,3314,ms
Task Path,:layer_1:module_1_140:compileDebugKotlin,1968,2045,1951,1983,2261,2440,ms
Task Path,:layer_1:module_1_139:compileDebugKotlin,2779,2950,2768,2918,3167,3414,ms
Task Path,:layer_1:module_1_141:compileDebugKotlin,1753,1814,1745,1782,2020,2239,ms
Task Path,:layer_1:module_1_142:kspDebugKotlin,2433,2536,2365,2505,2815,3162,ms
Task Path,:layer_1:module_1_143:kspDebugKotlin,2452,2566,2422,2521,2744,3129,ms
Task Path,:layer_1:module_1_144:kspDebugKotlin,2602,2701,2554,2679,2928,3235,ms
Task Path,:layer_1:module_1_145:kspDebugKotlin,2986,2990,2893,2956,3450,3473,ms
Task Path,:layer_1:module_1_144:compileDebugKotlin,1399,1378,1357,1300,1809,1715,ms
Task Path,:layer_1:module_1_145:compileDebugKotlin,1387,1392,1368,1398,1565,1604,ms
Task Path,:layer_1:module_1_143:compileDebugKotlin,2590,2586,2533,2507,2978,2978,ms
Task Path,:layer_1:module_1_142:compileDebugKotlin,2652,2640,2586,2586,3252,3064,ms
Task Path,:layer_1:module_1_146:kspDebugKotlin,2037,2134,2009,2012,2622,2674,ms
