Category,Metric,varianta_r8 Mean,variantb_kill_process_before_r8 Mean,varianta_r8 P50,variantb_kill_process_before_r8 P50,varianta_r8 P90,variantb_kill_process_before_r8 P90,Unit
Task Path,:repository:file-contact:kspReleaseKotlin,3258,3168,3287,3168,3717,3570,ms
Task Path,:repository:alarm-contact:kspReleaseKotlin,4029,4119,3895,4071,4883,4761,ms
Task Path,:repository:calendar-contact:compileReleaseKotlin,3162,3164,3106,3054,3862,3887,ms
Task Path,:repository:article-contact:kspReleaseKotlin,3457,3424,3347,3491,4205,3791,ms
Task Path,:repository:document-contact:kspReleaseKotlin,3689,3760,3638,3766,4673,4543,ms
Task Path,:repository:alarm-contact:compileReleaseKotlin,3004,3065,2925,3044,3644,3586,ms
Task Path,:repository:article-contact:compileReleaseKotlin,3118,3319,3107,3317,3685,4087,ms
Task Path,:repository:file-contact:compileReleaseKotlin,3282,3619,3219,3598,3811,4147,ms
Task Path,:repository:document-contact:compileReleaseKotlin,3074,3141,3032,3092,3701,3713,ms
Task Path,:repository:forecast-contact:compileReleaseKotlin,2046,2087,2053,2084,2308,2381,ms
Task Path,:repository:news-contact:kspReleaseKotlin,2879,2634,2847,2637,3567,3184,ms
Task Path,:repository:list-contact:kspReleaseKotlin,3530,3431,3533,3347,4227,4071,ms
Task Path,:repository:log-contact:kspReleaseKotlin,3545,3413,3444,3329,4537,3881,ms
Task Path,:repository:note-contact:kspReleaseKotlin,2998,2982,2972,2951,3332,3527,ms
Task Path,:repository:news-contact:compileReleaseKotlin,1637,1584,1622,1540,2032,1910,ms
Task Path,:repository:note-contact:compileReleaseKotlin,1699,1754,1625,1757,2066,2132,ms
Task Path,:repository:list-contact:compileReleaseKotlin,3371,3409,3361,3409,3694,3853,ms
Task Path,:repository:log-contact:compileReleaseKotlin,3112,3179,3015,3158,3662,3649,ms
Task Path,:repository:photo-contact:kspReleaseKotlin,3014,2924,3103,3030,3395,3641,ms
Task Path,:repository:podcast-contact:kspReleaseKotlin,3519,3520,3514,3540,4210,3996,ms
Task Path,:repository:photo-contact:compileReleaseKotlin,2681,2803,2642,2779,3172,3493,ms
Task Path,:repository:podcast-contact:compileReleaseKotlin,2695,2738,2752,2745,3038,3154,ms
Task Path,:repository:task-contact:kspReleaseKotlin,3626,3768,3538,3783,4441,4454,ms
Task Path,:repository:status-contact:kspReleaseKotlin,4037,4069,3932,4035,4704,4735,ms
Task Path,:repository:status-contact:compileReleaseKotlin,2625,2700,2661,2648,2980,3150,ms
Task Path,:repository:task-contact:compileReleaseKotlin,3136,3294,3141,3263,3577,3806,ms
Task Path,:repository:timer-contact:kspReleaseKotlin,3470,3732,3530,3703,4037,4557,ms
Task Path,:repository:weather-contact:kspReleaseKotlin,3805,4020,3706,3962,4491,4802,ms
Task Path,:repository:timer-contact:compileReleaseKotlin,3079,3308,3088,3318,3682,3812,ms
Task Path,:repository:weather-contact:compileReleaseKotlin,3520,3557,3451,3521,4344,4086,ms
Task Path,:repository:map-contact:kspReleaseKotlin,3478,3485,3460,3425,3973,4094,ms
Task Path,:repository:gallery-contact:kspReleaseKotlin,4205,4271,4070,4203,4839,5440,ms
Task Path,:repository:map-contact:compileReleaseKotlin,2414,2456,2368,2454,2999,2864,ms
Task Path,:repository:gallery-contact:compileReleaseKotlin,3009,2914,2957,2941,3491,3329,ms
Task Path,:repository:media-contact:kspReleaseKotlin,3774,3895,3708,3906,4751,4447,ms
Task Path,:model:audio-contact:kspReleaseKotlin,3653,3528,3593,3590,4447,4104,ms
Task Path,:repository:media-contact:compileReleaseKotlin,3210,3310,3172,3237,3724,3918,ms
Task Path,:repository:metric-contact:kspReleaseKotlin,3717,3726,3754,3678,4354,4346,ms
Task Path,:model:audio-contact:compileReleaseKotlin,3566,3440,3535,3422,4412,3967,ms
Task Path,:repository:todo-contact:kspReleaseKotlin,4298,4250,4227,4221,4952,5085,ms
Task Path,:repository:metric-contact:compileReleaseKotlin,2978,3039,2958,3077,3409,3554,ms
Task Path,:repository:todo-contact:compileReleaseKotlin,3563,3453,3594,3527,4011,4029,ms
Task Path,:repository:video-contact:kspReleaseKotlin,3181,3162,3163,3212,3781,3660,ms
Task Path,:repository:event-contact:kspReleaseKotlin,3435,3597,3416,3525,4138,4416,ms
Task Path,:repository:video-contact:compileReleaseKotlin,2217,2191,2193,2138,2619,2755,ms
Task Path,:repository:event-contact:compileReleaseKotlin,3313,3491,3178,3462,4026,4282,ms
Task Path,:repository:report-contact:kspReleaseKotlin,3124,3243,3064,3190,3718,3719,ms
