Category,Metric,varianta_main Mean,variantb_lint_2g Mean,varianta_main P50,variantb_lint_2g P50,varianta_main P90,variantb_lint_2g P90,Unit
Task Path,:layer_0:module_0_51:lintAnalyzeDebug,5279,5600,5000,5103,7202,8484,ms
Task Path,:layer_0:module_0_54:compileDebugKotlin,2300,2298,2148,2155,3636,2959,ms
Task Path,:layer_0:module_0_55:compileDebugKotlin,2067,2358,2063,2237,2521,3002,ms
Task Path,:layer_0:module_0_52:lintAnalyzeDebug,5243,5980,4823,5119,7626,9408,ms
Task Path,:layer_0:module_0_53:lintAnalyzeDebug,5276,6604,5016,5332,6636,10079,ms
Task Path,:layer_0:module_0_56:compileDebugKotlin,2099,2300,2083,2268,2717,2687,ms
Task Path,:layer_0:module_0_57:compileDebugKotlin,2164,2320,2255,2266,2623,2799,ms
Task Path,:layer_0:module_0_54:lintAnalyzeDebug,5295,5943,4753,4970,6411,9471,ms
Task Path,:layer_0:module_0_55:lintAnalyzeDebug,5485,5397,4830,4938,8136,8822,ms
Task Path,:layer_0:module_0_58:compileDebugKotlin,2043,2469,2090,2258,2414,3318,ms
Task Path,:layer_0:module_0_59:compileDebugKotlin,2075,2318,2105,2106,2411,3523,ms
Task Path,:layer_0:module_0_56:lintAnalyzeDebug,5131,4889,4825,4698,6467,5888,ms
Task Path,:layer_0:module_0_57:lintAnalyzeDebug,4963,4952,4644,4820,5828,5913,ms
Task Path,:layer_0:module_0_6:compileDebugKotlin,2025,2010,2138,1990,2442,2320,ms
Task Path,:layer_0:module_0_60:compileDebugKotlin,2162,2229,2138,2261,2690,2663,ms
Task Path,:layer_0:module_0_58:lintAnalyzeDebug,4820,4871,4698,4746,5580,5884,ms
Task Path,:layer_0:module_0_59:lintAnalyzeDebug,4853,4761,4760,4751,5768,5811,ms
Task Path,:layer_0:module_0_61:compileDebugKotlin,2047,2250,2054,2307,2514,2640,ms
Task Path,:layer_0:module_0_62:compileDebugKotlin,2185,2108,2184,2145,2586,2608,ms
Task Path,:layer_0:module_0_6:lintAnalyzeDebug,4937,4749,4877,4739,5869,5373,ms
Task Path,:layer_0:module_0_60:lintAnalyzeDebug,5012,4653,4804,4521,6888,5974,ms
Task Path,:layer_0:module_0_63:compileDebugKotlin,2052,2116,1982,2099,2447,2408,ms
Task Path,:layer_0:module_0_61:lintAnalyzeDebug,5115,4640,4903,4587,6497,5470,ms
Task Path,:layer_0:module_0_64:compileDebugKotlin,2016,2211,2114,2176,2451,2632,ms
Task Path,:layer_0:module_0_62:lintAnalyzeDebug,4777,4557,4498,4529,6065,5542,ms
Task Path,:layer_0:module_0_65:compileDebugKotlin,2037,2065,2042,2113,2552,2462,ms
Task Path,:layer_0:module_0_66:compileDebugKotlin,2080,2003,2135,2090,2420,2253,ms
Task Path,:layer_0:module_0_63:lintAnalyzeDebug,4930,4531,4939,4422,5738,5252,ms
Task Path,:layer_0:module_0_64:lintAnalyzeDebug,4821,4723,4803,4419,5494,5809,ms
Task Path,:layer_0:module_0_67:compileDebugKotlin,1982,2088,2030,2052,2253,2471,ms
Task Path,:layer_0:module_0_68:compileDebugKotlin,1979,2135,2007,2160,2467,2499,ms
Task Path,:layer_0:module_0_65:lintAnalyzeDebug,4753,4627,4718,4534,5806,5249,ms
Task Path,:layer_0:module_0_66:lintAnalyzeDebug,4781,4606,4638,4539,5761,5415,ms
Task Path,:layer_0:module_0_69:compileDebugKotlin,2058,2209,1999,2187,2386,2558,ms
Task Path,:layer_0:module_0_7:compileDebugKotlin,2173,2305,2235,2116,2486,3997,ms
Task Path,:layer_0:module_0_67:lintAnalyzeDebug,4825,4644,4656,4491,5580,5681,ms
Task Path,:layer_0:module_0_68:lintAnalyzeDebug,4799,4673,4667,4408,5605,6023,ms
Task Path,:layer_0:module_0_70:compileDebugKotlin,2052,2156,2053,2100,2383,3143,ms
Task Path,:layer_0:module_0_71:compileDebugKotlin,2036,1982,2057,1999,2513,2581,ms
Task Path,:layer_0:module_0_69:lintAnalyzeDebug,4811,4470,4699,4366,5340,5298,ms
Task Path,:layer_0:module_0_7:lintAnalyzeDebug,4983,4502,4763,4358,5984,5525,ms
Task Path,:layer_0:module_0_72:compileDebugKotlin,2077,2083,2063,2184,2585,2488,ms
Task Path,:layer_0:module_0_73:compileDebugKotlin,1957,2061,2107,1984,2504,2519,ms
Task Path,:layer_0:module_0_70:lintAnalyzeDebug,4954,4437,4596,4250,6041,5469,ms
Task Path,:layer_0:module_0_71:lintAnalyzeDebug,4846,4423,4647,4128,5691,5483,ms
Task Path,:layer_0:module_0_74:compileDebugKotlin,1938,2019,1930,2041,2432,2429,ms
Task Path,:layer_0:module_0_75:compileDebugKotlin,1905,1973,1927,2002,2370,2335,ms
Task Path,:layer_0:module_0_72:lintAnalyzeDebug,4787,4569,4729,4216,5339,5947,ms
Task Path,:layer_0:module_0_73:lintAnalyzeDebug,4853,4588,4596,4438,6474,5760,ms
Task Path,:layer_0:module_0_76:compileDebugKotlin,1890,2166,1959,2181,2286,2397,ms
Task Path,:layer_0:module_0_77:compileDebugKotlin,1867,2163,1944,2110,2237,2843,ms
Task Path,:layer_0:module_0_74:lintAnalyzeDebug,5038,4453,4847,4162,6577,5562,ms
Task Path,:layer_0:module_0_75:lintAnalyzeDebug,5072,4378,4700,4164,6873,5565,ms
Task Path,:layer_0:module_0_79:compileDebugKotlin,2059,2029,1980,2043,3311,2576,ms
Task Path,:layer_0:module_0_78:compileDebugKotlin,1940,1963,1873,2020,2378,2369,ms
Task Path,:layer_0:module_0_76:lintAnalyzeDebug,5337,4409,4788,4058,7585,5802,ms
Task Path,:layer_0:module_0_77:lintAnalyzeDebug,5391,4295,4803,4073,7401,5250,ms
Task Path,:layer_0:module_0_8:compileDebugKotlin,1965,1989,1923,2029,2394,2447,ms
Task Path,:layer_0:module_0_78:lintAnalyzeDebug,5407,4429,4718,4219,7541,5671,ms
Task Path,:layer_0:module_0_80:compileDebugKotlin,1863,1934,1823,2001,2569,2364,ms
Task Path,:layer_0:module_0_79:lintAnalyzeDebug,4957,4415,4577,4324,7088,5402,ms
Task Path,:layer_0:module_0_81:compileDebugKotlin,1841,2021,1841,2073,2442,2326,ms
Task Path,:layer_0:module_0_82:compileDebugKotlin,1854,2051,1933,2099,2239,2386,ms
Task Path,:layer_0:module_0_8:lintAnalyzeDebug,4972,4407,4660,4080,6830,5701,ms
Task Path,:layer_0:module_0_80:lintAnalyzeDebug,4860,4440,4577,3982,6918,6127,ms
Task Path,:layer_0:module_0_83:compileDebugKotlin,1838,1870,1841,1845,2352,2192,ms
Task Path,:layer_0:module_0_81:lintAnalyzeDebug,4688,4410,4574,4119,5546,5464,ms
Task Path,:layer_0:module_0_84:compileDebugKotlin,1781,1913,1934,1894,2271,2225,ms
Task Path,:layer_0:module_0_82:lintAnalyzeDebug,4621,4713,4454,4188,5510,6787,ms
Task Path,:layer_0:module_0_85:compileDebugKotlin,1791,2168,1791,2119,2291,3241,ms
Task Path,:layer_0:module_0_86:compileDebugKotlin,1893,2137,1823,2024,2765,3285,ms
Task Path,:layer_0:module_0_83:lintAnalyzeDebug,4720,4479,4544,4143,5494,6022,ms
Task Path,:layer_0:module_0_84:lintAnalyzeDebug,4686,4979,4386,4373,5946,7817,ms
Task Path,:layer_0:module_0_87:compileDebugKotlin,2045,1944,1890,1948,2549,2628,ms
Task Path,:layer_0:module_0_88:compileDebugKotlin,2021,2090,1903,2116,2779,2803,ms
Task Path,:layer_0:module_0_85:lintAnalyzeDebug,4768,5188,4514,4305,6472,9515,ms
Task Path,:layer_0:module_0_86:lintAnalyzeDebug,4753,4556,4562,4147,6324,5786,ms
Task Path,:layer_0:module_0_89:compileDebugKotlin,2084,2061,1981,2088,2871,2835,ms
Task Path,:layer_0:module_0_9:compileDebugKotlin,1914,1968,1870,1946,2839,2804,ms
Task Path,:layer_0:module_0_87:lintAnalyzeDebug,5054,4480,4637,4173,6638,5560,ms
Task Path,:layer_0:module_0_88:lintAnalyzeDebug,4816,4609,4370,4212,6146,6227,ms
Task Path,:layer_0:module_0_90:compileDebugKotlin,1796,1968,1807,1913,2684,2550,ms
Task Path,:layer_0:module_0_91:compileDebugKotlin,1773,2038,1792,2111,2444,2311,ms
Task Path,:layer_0:module_0_89:lintAnalyzeDebug,4808,4359,4410,4259,6601,4998,ms
Task Path,:layer_0:module_0_9:lintAnalyzeDebug,4759,4232,4294,4200,6967,5111,ms
Task Path,:layer_0:module_0_92:compileDebugKotlin,1820,1804,1772,1806,2730,2252,ms
Task Path,:layer_0:module_0_93:compileDebugKotlin,1931,1776,1925,1811,2388,2140,ms
Task Path,:layer_0:module_0_90:lintAnalyzeDebug,4842,4202,4437,4077,6759,5170,ms
Task Path,:layer_0:module_0_91:lintAnalyzeDebug,4638,4284,4434,4085,6426,5322,ms
Task Path,:layer_0:module_0_94:compileDebugKotlin,1623,2062,1642,1976,1952,2506,ms
Task Path,:layer_0:module_0_95:compileDebugKotlin,1854,2259,1898,2183,2286,2859,ms
Task Path,:layer_0:module_0_92:lintAnalyzeDebug,4493,4503,4457,4177,5063,6401,ms
Task Path,:layer_0:module_0_93:lintAnalyzeDebug,4380,4370,4155,4035,5310,6058,ms
Task Path,:layer_0:module_0_96:compileDebugKotlin,1869,2056,1839,2131,2539,2386,ms
Task Path,:layer_0:module_0_94:lintAnalyzeDebug,4191,4189,4133,4072,4858,5136,ms
Task Path,:layer_0:module_0_97:compileDebugKotlin,1755,1847,1692,1906,2445,2230,ms
Task Path,:layer_0:module_0_95:lintAnalyzeDebug,4292,4614,4182,4302,4867,5672,ms
Task Path,:layer_0:module_0_98:compileDebugKotlin,1752,1760,1755,1681,2118,2253,ms
Task Path,:layer_0:module_0_99:compileDebugKotlin,1707,1830,1643,1833,2098,2136,ms
Task Path,:layer_0:module_0_96:lintAnalyzeDebug,4368,4423,4215,4040,5345,5561,ms
Task Path,:layer_0:module_0_97:lintAnalyzeDebug,4719,4192,4358,3898,6529,5618,ms
Task Path,:layer_0:module_0_98:lintAnalyzeDebug,4607,4396,4237,3937,6390,5228,ms
Task Path,:layer_0:module_0_99:lintAnalyzeDebug,4211,4779,3801,3964,5720,9614,ms
Task Path,:layer_1:module_1_135:compileDebugKotlin,2028,2154,2038,2130,2305,2722,ms
Task Path,:layer_1:module_1_133:compileDebugKotlin,2686,2741,2651,2856,3086,3423,ms
Task Path,:layer_1:module_1_134:compileDebugKotlin,2558,2686,2546,2663,2824,3519,ms
