Category,Metric,varianta_gradle_9_1_0 Mean,variantb_gradle_9_2_0-rc-1 Mean,varianta_gradle_9_1_0 P50,variantb_gradle_9_2_0-rc-1 P50,varianta_gradle_9_1_0 P90,variantb_gradle_9_2_0-rc-1 P90,Unit
Task Path,:domain:log-contact:kspDebugKotlin,2797,2925,2817,2953,3334,3351,ms
Task Path,:domain:message-contact:kspDebugKotlin,2830,3035,2705,3018,3371,3591,ms
Task Path,:domain:location-contact:compileDebugKotlin,1517,1689,1431,1708,2000,2262,ms
Task Path,:domain:metric-contact:kspDebugKotlin,2995,2954,3081,2869,3531,3890,ms
Task Path,:domain:log-contact:compileDebugKotlin,1706,1815,1660,1754,2268,2310,ms
Task Path,:domain:message-contact:compileDebugKotlin,1607,1638,1555,1570,1963,1988,ms
Task Path,:domain:metric-contact:compileDebugKotlin,1592,1545,1539,1533,1929,1842,ms
Task Path,:domain:network-contact:kspDebugKotlin,2666,2600,2630,2603,3189,3129,ms
Task Path,:domain:news-contact:kspDebugKotlin,2574,2514,2540,2502,3008,2871,ms
Task Path,:domain:note-contact:kspDebugKotlin,2892,2857,2891,2808,3295,3349,ms
Task Path,:domain:network-contact:compileDebugKotlin,1612,1591,1545,1616,1913,1907,ms
Task Path,:domain:news-contact:compileDebugKotlin,1559,1600,1529,1603,1876,1798,ms
Task Path,:domain:note-contact:compileDebugKotlin,1644,1647,1646,1660,2077,1991,ms
Task Path,:domain:notification-contact:kspDebugKotlin,2961,2956,3010,2966,3423,3600,ms
Task Path,:domain:report-contact:kspDebugKotlin,2652,2582,2663,2633,3291,2995,ms
Task Path,:domain:notification-contact:compileDebugKotlin,1670,1823,1647,1694,2004,2366,ms
Task Path,:domain:search-contact:kspDebugKotlin,2618,2611,2586,2636,3171,3043,ms
Task Path,:domain:report-contact:compileDebugKotlin,1527,1646,1491,1537,1813,2196,ms
Task Path,:domain:session-contact:kspDebugKotlin,2588,2664,2525,2611,3009,3112,ms
Task Path,:domain:search-contact:compileDebugKotlin,1618,1819,1584,1907,1970,2239,ms
Task Path,:domain:session-contact:compileDebugKotlin,1657,1707,1575,1604,2089,2152,ms
Task Path,:domain:setting-contact:kspDebugKotlin,2773,2695,2713,2611,3427,3335,ms
Task Path,:domain:share-contact:kspDebugKotlin,2732,2649,2648,2645,3393,3348,ms
Task Path,:domain:status-contact:kspDebugKotlin,2695,2556,2668,2472,3234,3072,ms
Task Path,:domain:setting-contact:compileDebugKotlin,1624,1544,1494,1551,2188,1961,ms
Task Path,:domain:share-contact:compileDebugKotlin,1522,1506,1446,1480,1989,1826,ms
Task Path,:domain:status-contact:compileDebugKotlin,1492,1436,1435,1354,1855,1915,ms
Task Path,:domain:sync-contact:kspDebugKotlin,2949,2818,2802,2724,3668,3548,ms
Task Path,:domain:task-contact:kspDebugKotlin,2604,2618,2596,2605,3240,3252,ms
Task Path,:domain:sync-contact:compileDebugKotlin,1516,1493,1490,1487,1841,1873,ms
Task Path,:domain:timer-contact:kspDebugKotlin,2586,2508,2614,2482,3074,2851,ms
Task Path,:domain:todo-contact:kspDebugKotlin,2665,2576,2648,2430,3227,3106,ms
Task Path,:domain:task-contact:compileDebugKotlin,1525,1476,1432,1503,1965,1796,ms
Task Path,:domain:timer-contact:compileDebugKotlin,1619,1534,1573,1527,1953,1959,ms
Task Path,:domain:todo-contact:compileDebugKotlin,1743,1619,1673,1572,2156,1938,ms
Task Path,:domain:weather-contact:kspDebugKotlin,3032,2876,2951,2767,3415,3458,ms
Task Path,:domain:weather-contact:compileDebugKotlin,1635,1541,1545,1534,2043,1843,ms
Task Path,:repository:account-login:kspDebugKotlin,2455,2438,2411,2407,3162,2998,ms
Task Path,:repository:feed-login:kspDebugKotlin,2476,2327,2443,2286,2960,2767,ms
Task Path,:repository:comment-login:kspDebugKotlin,2747,2579,2632,2671,3546,3029,ms
Task Path,:repository:account-login:compileDebugKotlin,1459,1580,1336,1481,1986,1983,ms
Task Path,:repository:article-contact:kspDebugKotlin,2582,2637,2518,2572,3135,3236,ms
Task Path,:repository:audio-contact:kspDebugKotlin,2524,2721,2432,2702,3065,3275,ms
Task Path,:repository:comment-login:compileDebugKotlin,1493,1430,1469,1291,1936,1939,ms
Task Path,:repository:cart-login:kspDebugKotlin,2939,3041,2876,3046,3460,3487,ms
Task Path,:repository:article-contact:compileDebugKotlin,1593,1612,1542,1521,1972,2070,ms
Task Path,:repository:audio-contact:compileDebugKotlin,1565,1547,1527,1491,2013,1905,ms
Task Path,:repository:feed-login:compileDebugKotlin,1411,1501,1375,1439,1712,1938,ms
Task Path,:repository:cart-login:compileDebugKotlin,1535,1521,1477,1483,1889,1826,ms
Task Path,:repository:group-login:kspDebugKotlin,2350,2209,2247,2169,2901,2590,ms
Task Path,:repository:group-login:compileDebugKotlin,1349,1402,1380,1290,1525,1974,ms
Task Path,:repository:identity-login:kspDebugKotlin,2433,2287,2292,2165,2913,2774,ms
Task Path,:repository:location-login:kspDebugKotlin,2471,2415,2393,2449,2944,2940,ms
Task Path,:repository:login-login:kspDebugKotlin,2376,2342,2374,2286,2757,2891,ms
Task Path,:repository:identity-login:compileDebugKotlin,1427,1445,1368,1390,1694,2027,ms
Task Path,:repository:location-login:compileDebugKotlin,1408,1413,1334,1365,1764,2032,ms
Task Path,:repository:login-login:compileDebugKotlin,1487,1429,1423,1370,2001,1760,ms
Task Path,:repository:media-contact:kspDebugKotlin,2623,2542,2547,2481,3256,3137,ms
